                                                                     
                                                                     
                                                                     
                                             
Angles in degrees, polarised cross sections in microbarns/sterad
Coefficients A_F, B_F, C_F, D_F for sigmaF = rho*sintheta*[A_F + B_F*x + C_F*(3x^2-1)/2 + D_F*(5x^3-3x)/2] with x = costheta and rho = q/k

------------------------------------------------------------------------------

Channel 256: 144.184 +- 0.722 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
chi^2/ndf =   8.430/15 =   0.562

------------------------------------------------------------------------------

Channel 250: 151.827 +- 0.702 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0           0.220556         0.285620
 15.0   5.0           0.035499         0.135229
 25.0   5.0           0.062215         0.122026
 35.0   5.0           0.118756         0.113709
 45.0   5.0           0.060320         0.113424
 55.0   5.0           0.153954         0.103882
 65.0   5.0           0.016242         0.091398
 75.0   5.0           0.098986         0.078024
 85.0   5.0           0.010227         0.071824
 95.0   5.0          -0.024369         0.064877
105.0   5.0           0.015873         0.058431
115.0   5.0          -0.078850         0.076233
125.0   5.0           0.051957         0.067465
135.0   5.0           0.015213         0.062472
145.0   5.0           0.110607         0.084078
155.0   5.0          -0.115654         0.091913
165.0   5.0          -0.091879         0.114502
175.0   5.0          -0.173972         0.343423

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
  0.189031     0.108221     0.322685     0.207145     0.289299     0.269435     0.000000     0.000000

chi^2/ndf =   8.244/15 =   0.550

------------------------------------------------------------------------------

Channel 249: 153.101 +- 0.699 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -0.068434         0.292884
 15.0   5.0           0.315059         0.149209
 25.0   5.0          -0.010958         0.126543
 35.0   5.0          -0.080391         0.127698
 45.0   5.0          -0.101925         0.119327
 55.0   5.0          -0.071213         0.115580
 65.0   5.0          -0.107120         0.099307
 75.0   5.0           0.085251         0.086079
 85.0   5.0           0.125520         0.073608
 95.0   5.0          -0.130324         0.071182
105.0   5.0           0.049865         0.066299
115.0   5.0          -0.091936         0.067226
125.0   5.0           0.051394         0.068394
135.0   5.0          -0.074328         0.077775
145.0   5.0          -0.057229         0.077072
155.0   5.0           0.044579         0.089125
165.0   5.0          -0.002231         0.113088
175.0   5.0          -0.296811         0.407411

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
 -0.079177     0.107133     0.008423     0.205170    -0.168561     0.264509     0.000000     0.000000

chi^2/ndf =  18.920/15 =   1.261

------------------------------------------------------------------------------

Channel 248: 154.357 +- 0.713 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0           0.231663         0.278100
 15.0   5.0          -0.043929         0.146719
 25.0   5.0           0.019599         0.145899
 35.0   5.0          -0.203846         0.135706
 45.0   5.0          -0.141085         0.134748
 55.0   5.0           0.028151         0.128386
 65.0   5.0          -0.061673         0.117258
 75.0   5.0           0.034587         0.096926
 85.0   5.0          -0.079044         0.083208
 95.0   5.0          -0.051104         0.072368
105.0   5.0          -0.010811         0.074955
115.0   5.0          -0.043789         0.072120
125.0   5.0           0.074939         0.072762
135.0   5.0           0.023275         0.083429
145.0   5.0           0.070792         0.087938
155.0   5.0           0.180966         0.115648
165.0   5.0           0.018959         0.118819
175.0   5.0          -0.045420         0.301750

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
 -0.052099     0.111980    -0.338960     0.213625     0.183978     0.275251     0.000000     0.000000

chi^2/ndf =   6.753/15 =   0.450

------------------------------------------------------------------------------

Channel 247: 155.648 +- 0.728 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0           0.291974         0.358881
 15.0   5.0           0.135221         0.168473
 25.0   5.0           0.039692         0.162714
 35.0   5.0           0.151608         0.153795
 45.0   5.0           0.067226         0.154741
 55.0   5.0          -0.251473         0.147429
 65.0   5.0          -0.152647         0.128085
 75.0   5.0          -0.113083         0.110703
 85.0   5.0           0.173966         0.092214
 95.0   5.0          -0.134927         0.083005
105.0   5.0           0.090706         0.079963
115.0   5.0           0.106299         0.075981
125.0   5.0           0.113685         0.081046
135.0   5.0           0.110915         0.087562
145.0   5.0           0.198800         0.099222
155.0   5.0           0.069987         0.108395
165.0   5.0           0.140068         0.141390
175.0   5.0           0.411697         0.355720

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
  0.172950     0.117980    -0.447205     0.224995     0.459563     0.287500     0.000000     0.000000

chi^2/ndf =  15.874/15 =   1.058

------------------------------------------------------------------------------

Channel 246: 156.921 +- 0.724 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0           0.926710         0.474831
 15.0   5.0          -0.070453         0.207998
 25.0   5.0           0.065706         0.191441
 35.0   5.0          -0.356087         0.191407
 45.0   5.0           0.354997         0.190009
 55.0   5.0          -0.096641         0.178892
 65.0   5.0          -0.426179         0.162984
 75.0   5.0           0.134483         0.134292
 85.0   5.0           0.107665         0.114399
 95.0   5.0           0.245886         0.104404
105.0   5.0          -0.092364         0.099245
115.0   5.0           0.109143         0.094123
125.0   5.0           0.134684         0.097029
135.0   5.0           0.192080         0.106973
145.0   5.0           0.249000         0.117310
