                                                                     
                                                                     
                                                                     
                                             
Angles in degrees, polarised cross sections in microbarns/sterad
Coefficients A_F, B_F, C_F, D_F for sigmaF = rho*sintheta*[A_F + B_F*x + C_F*(3x^2-1)/2 + D_F*(5x^3-3x)/2] with x = costheta and rho = q/k

------------------------------------------------------------------------------

Channel 256: 144.184 +- 0.722 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
 35.0   5.0          -1.158562         0.852452
 45.0   5.0          -0.563710         0.767206
 55.0   5.0          -1.518782         0.660300
 65.0   5.0          -1.859180         0.550672
 75.0   5.0          -0.969663         0.456409
 85.0   5.0           0.184038         0.397750
 95.0   5.0           0.311158         0.375014
105.0   5.0           1.043580         0.361776
115.0   5.0           1.163574         0.364190
125.0   5.0           2.605165         0.373158
135.0   5.0           1.867868         0.388726
145.0   5.0           1.834738         0.438488
155.0   5.0           2.257719         0.510887
165.0   5.0           1.800899         0.666342
175.0   5.0          -0.474560         1.472053

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
  0.590297     0.273506    -4.900000     0.521538     1.162643     0.668998     0.000000     0.000000

chi^2/ndf =  13.444/15 =   0.896

------------------------------------------------------------------------------

Channel 196: 219.950 +- 0.686 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0           1.674615         1.318949
 15.0   5.0          -0.654747         0.903179
 25.0   5.0          -2.175488         0.885834
 35.0   5.0          -1.081093         0.851471
 45.0   5.0          -2.819450         0.767149
 55.0   5.0          -1.926452         0.662657
 65.0   5.0          -1.442802         0.545949
 75.0   5.0          -0.586979         0.456120
 85.0   5.0          -0.290169         0.400176
 95.0   5.0           0.890292         0.373834
105.0   5.0           0.851958         0.359434
115.0   5.0           1.929869         0.370058
125.0   5.0           2.469630         0.375144
135.0   5.0           2.007839         0.399590
145.0   5.0           2.209881         0.441155
155.0   5.0           2.091737         0.515827
165.0   5.0           1.200317         0.684656
175.0   5.0           0.825282         1.481029

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
  0.323189     0.273477    -5.896473     0.521033     0.087499     0.669766     0.000000     0.000000

chi^2/ndf =   9.359/15 =   0.624

------------------------------------------------------------------------------

Channel 195: 221.189 +- 0.683 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0           0.326858         1.239278
 15.0   5.0          -1.382349         0.873585
 25.0   5.0          -1.740085         0.884252
 35.0   5.0          -2.828453         0.850010
 45.0   5.0          -1.316137         0.776783
 55.0   5.0          -2.109812         0.660389
 65.0   5.0          -1.723839         0.551489
 75.0   5.0          -1.102019         0.457861
 85.0   5.0           0.281930         0.400963
 95.0   5.0           0.874506         0.377472
105.0   5.0           1.157401         0.364036
115.0   5.0           2.985901         0.369769
125.0   5.0           2.493710         0.380404
135.0   5.0           2.550583         0.402589
145.0   5.0           2.805019         0.438501
155.0   5.0           2.290342         0.516693
165.0   5.0           2.913831         0.661640
175.0   5.0           0.298751         1.519957

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
  0.643047     0.272686    -6.954031     0.520313     0.300938     0.667297     0.000000     0.000000

chi^2/ndf =  14.905/15 =   0.994

------------------------------------------------------------------------------

Channel 194: 222.427 +- 0.679 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0           1.330345         1.385944
 15.0   5.0          -1.925640         0.888001
 25.0   5.0          -2.226095         0.910053
 35.0   5.0          -1.282016         0.852966
 45.0   5.0          -2.703162         0.761120
 55.0   5.0          -2.021358         0.651598
 65.0   5.0          -0.635739         0.540887
 75.0   5.0          -0.723342         0.453457
 85.0   5.0          -0.342849         0.396669
 95.0   5.0           0.406346         0.372914
105.0   5.0           1.006598         0.364636
115.0   5.0           2.697735         0.369654
125.0   5.0           3.109538         0.381733
135.0   5.0           2.820301         0.404599
145.0   5.0           2.119107         0.441590
155.0   5.0           0.926048         0.514137
165.0   5.0           1.249771         0.669425
175.0   5.0           3.596149         1.525080

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
  0.481273     0.270576    -6.435800     0.515906     0.058081     0.664302     0.000000     0.000000

chi^2/ndf =  24.007/15 =   1.600

------------------------------------------------------------------------------

Channel 193: 223.665 +- 0.675 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0           0.750102         1.502529
 15.0   5.0          -0.719396         0.972923
 25.0   5.0          -1.448181         0.951453
 35.0   5.0          -3.328511         0.928163
 45.0   5.0          -2.474535         0.829088
 55.0   5.0          -1.085805         0.710321
 65.0   5.0          -0.238805         0.580568
 75.0   5.0          -0.807204         0.490658
 85.0   5.0          -0.301830         0.433363
 95.0   5.0           0.222257         0.408893
105.0   5.0           0.900137         0.400002
115.0   5.0           1.926295         0.401891
125.0   5.0           1.964530         0.410900
135.0   5.0           2.334970         0.432588
145.0   5.0           1.797755         0.477372
155.0   5.0           1.891319         0.554355
165.0   5.0           1.765061         0.757790
175.0   5.0           0.465475         1.660007

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
  0.354040     0.291358    -5.269501     0.555712     0.361509     0.717558     0.000000     0.000000

chi^2/ndf =  11.273/15 =   0.752

------------------------------------------------------------------------------

Channel 191: 226.134 +- 0.668 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0           1.454653         1.771912
 15.0   5.0          -2.294255         1.156802
 25.0   5.0          -2.721733         1.137189
 35.0   5.0          -2.124880         1.091874
 45.0   5.0          -0.887271         0.964907
 55.0   5.0          -1.985268         0.833005
 65.0   5.0          -1.135030         0.687279
 75.0   5.0          -2.529966         0.575519
 85.0   5.0          -0.673781         0.513259
 95.0   5.0           0.895860         0.485884
105.0   5.0           1.582416         0.475433
115.0   5.0           2.910501         0.475426
125.0   5.0           2.762661         0.497391
135.0   5.0           2.177742         0.518166
145.0   5.0           3.657325         0.576651
155.0   5.0           3.208770         0.673864
165.0   5.0           2.733596         0.879636
175.0   5.0           0.792402         1.894837

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
  0.668136     0.342284    -7.450851     0.651994     1.377877     0.846098     0.000000     0.000000

chi^2/ndf =  20.877/15 =   1.392

------------------------------------------------------------------------------

Channel 190: 227.367 +- 0.663 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -0.069515         1.589129
 15.0   5.0          -0.010259         1.029655
 25.0   5.0          -1.771705         1.002486
 35.0   5.0          -1.063020         0.950481
 45.0   5.0          -3.013925         0.864314
 55.0   5.0          -3.307488         0.734225
 65.0   5.0          -2.118619         0.601922
 75.0   5.0          -1.265075         0.508908
 85.0   5.0          -0.557371         0.457375
 95.0   5.0          -0.026131         0.427040
105.0   5.0           1.326236         0.419505
115.0   5.0           2.408837         0.423699
125.0   5.0           3.045415         0.434183
135.0   5.0           3.271596         0.466773
145.0   5.0           3.246933         0.505843
155.0   5.0           2.148610         0.593957
165.0   5.0           0.331551         0.755182
175.0   5.0           2.021923         1.842851

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
  0.351762     0.301013    -7.566555     0.573543     1.192214     0.744070     0.000000     0.000000

chi^2/ndf =  10.311/15 =   0.687

------------------------------------------------------------------------------

Channel 189: 228.599 +- 0.660 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -1.373054         1.606763
 15.0   5.0          -0.725648         1.128747
 25.0   5.0          -2.703612         1.119920
 35.0   5.0          -1.689058         1.041674
 45.0   5.0          -3.636877         0.933274
 55.0   5.0          -3.874515         0.783144
 65.0   5.0          -1.891338         0.654521
 75.0   5.0          -1.890681         0.553155
 85.0   5.0           0.670619         0.490414
 95.0   5.0           0.835182         0.468522
105.0   5.0           2.945720         0.457325
115.0   5.0           1.995865         0.458938
125.0   5.0           2.952316         0.474311
135.0   5.0           3.492585         0.499906
145.0   5.0           3.417792         0.550692
155.0   5.0           2.805600         0.637780
165.0   5.0           1.329671         0.822340
175.0   5.0          -0.576167         2.032898

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
  0.325641     0.325319    -8.710917     0.620107    -0.694871     0.805634     0.000000     0.000000

chi^2/ndf =  17.607/15 =   1.174

------------------------------------------------------------------------------

Channel 188: 229.812 +- 0.673 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -0.597673         1.407792
 15.0   5.0           0.126761         0.991134
 25.0   5.0          -0.565317         0.982016
 35.0   5.0          -3.476496         0.929063
 45.0   5.0          -2.655640         0.812436
 55.0   5.0          -2.493278         0.701029
 65.0   5.0          -3.355546         0.574669
 75.0   5.0          -2.106675         0.482566
 85.0   5.0          -0.769795         0.433985
 95.0   5.0           1.175271         0.412191
105.0   5.0           1.404311         0.403848
115.0   5.0           2.091123         0.407001
125.0   5.0           2.954577         0.419015
135.0   5.0           3.704966         0.447307
145.0   5.0           2.788328         0.491930
155.0   5.0           2.528318         0.579281
165.0   5.0           1.638200         0.745010
175.0   5.0           2.541110         1.708463

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
  0.144182     0.286989    -8.279550     0.546017     0.788418     0.712312     0.000000     0.000000

chi^2/ndf =  16.631/15 =   1.109

------------------------------------------------------------------------------

Channel 186: 232.287 +- 0.683 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -1.269273         1.499243
 15.0   5.0          -2.137666         1.040258
 25.0   5.0          -3.223913         0.980699
 35.0   5.0          -1.227464         0.899903
 45.0   5.0          -3.543464         0.816392
 55.0   5.0          -1.999124         0.680773
 65.0   5.0          -3.163415         0.565471
 75.0   5.0          -2.512792         0.480800
 85.0   5.0          -1.452994         0.435441
 95.0   5.0           0.357363         0.411280
105.0   5.0           1.247514         0.401446
115.0   5.0           2.233334         0.405778
125.0   5.0           3.241215         0.425225
135.0   5.0           2.674388         0.445245
145.0   5.0           2.939282         0.492869
155.0   5.0           2.680414         0.577453
165.0   5.0           1.839962         0.769119
175.0   5.0           2.153634         1.735028

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
 -0.211789     0.283005    -8.355692     0.538003     1.023934     0.705150     0.000000     0.000000

chi^2/ndf =  14.134/15 =   0.942

------------------------------------------------------------------------------

Channel 185: 233.513 +- 0.679 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0           1.911894         1.646696
 15.0   5.0          -2.817798         1.110905
 25.0   5.0          -1.335810         1.081972
 35.0   5.0          -3.208837         0.990248
 45.0   5.0          -3.569216         0.863620
 55.0   5.0          -1.801350         0.737579
 65.0   5.0          -2.523406         0.605878
 75.0   5.0          -2.714339         0.517494
 85.0   5.0          -1.421230         0.465951
 95.0   5.0           0.593989         0.442409
105.0   5.0           2.006410         0.440448
115.0   5.0           2.261697         0.449382
125.0   5.0           2.822240         0.453914
135.0   5.0           3.845837         0.488657
145.0   5.0           3.878753         0.535751
155.0   5.0           2.095760         0.630361
165.0   5.0           1.342491         0.811723
175.0   5.0           0.458428         1.810524

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
  0.083252     0.305069    -8.786643     0.580287     1.100926     0.761807     0.000000     0.000000

chi^2/ndf =  17.610/15 =   1.174

------------------------------------------------------------------------------

Channel 184: 234.738 +- 0.675 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0           1.675084         1.792464
 15.0   5.0          -1.651625         1.084107
 25.0   5.0          -1.633352         1.026251
 35.0   5.0          -4.812014         0.941133
 45.0   5.0          -4.516607         0.836972
 55.0   5.0          -3.149105         0.699720
 65.0   5.0          -2.839376         0.573914
 75.0   5.0          -2.523881         0.493177
 85.0   5.0          -0.496928         0.446535
 95.0   5.0           0.505975         0.425659
105.0   5.0           1.734470         0.420760
115.0   5.0           2.333044         0.426773
125.0   5.0           2.810352         0.440268
135.0   5.0           3.773830         0.463639
145.0   5.0           4.106167         0.515161
155.0   5.0           2.084000         0.594076
165.0   5.0           2.681241         0.803283
175.0   5.0           0.991998         1.818041

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
 -0.254807     0.290528    -9.615440     0.552497     0.133132     0.726815     0.000000     0.000000

chi^2/ndf =  14.464/15 =   0.964

------------------------------------------------------------------------------

Channel 183: 235.961 +- 0.671 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -1.744164         1.656321
 15.0   5.0          -4.903730         1.133356
 25.0   5.0          -3.616479         1.037723
 35.0   5.0          -3.769953         0.973760
 45.0   5.0          -4.134198         0.846017
 55.0   5.0          -3.477794         0.713980
 65.0   5.0          -3.207871         0.590150
 75.0   5.0          -2.139024         0.507756
 85.0   5.0           0.075783         0.464225
 95.0   5.0           0.688067         0.441172
105.0   5.0           2.354421         0.433452
115.0   5.0           3.005299         0.439954
125.0   5.0           4.142513         0.456030
135.0   5.0           4.007524         0.483411
145.0   5.0           3.874761         0.537275
155.0   5.0           4.764534         0.629358
165.0   5.0           2.008883         0.821621
175.0   5.0           0.571744         1.892901

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
  0.144929     0.298015   -11.063419     0.565691    -0.202838     0.748405     0.000000     0.000000

chi^2/ndf =  16.142/15 =   1.076

------------------------------------------------------------------------------

Channel 182: 237.183 +- 0.667 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -1.095787         1.710037
 15.0   5.0          -2.766574         1.120415
 25.0   5.0          -2.502956         1.110293
 35.0   5.0          -2.653932         1.016484
 45.0   5.0          -2.826266         0.875686
 55.0   5.0          -4.947651         0.746571
 65.0   5.0          -3.552550         0.612122
 75.0   5.0          -2.053234         0.525305
 85.0   5.0          -0.322360         0.483493
 95.0   5.0           0.912590         0.459620
105.0   5.0           2.310511         0.452298
115.0   5.0           3.847960         0.457710
125.0   5.0           4.196695         0.472715
135.0   5.0           3.769076         0.499295
145.0   5.0           3.538425         0.547710
155.0   5.0           4.462637         0.649940
165.0   5.0           0.901270         0.857191
175.0   5.0           3.117605         1.798346

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
  0.223838     0.308257   -10.895781     0.585933    -0.093773     0.773966     0.000000     0.000000

chi^2/ndf =  17.778/15 =   1.185

------------------------------------------------------------------------------

Channel 181: 238.404 +- 0.663 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -1.711517         1.693009
 15.0   5.0          -1.091484         1.062020
 25.0   5.0          -4.114872         1.036578
 35.0   5.0          -2.579143         0.943358
 45.0   5.0          -3.910830         0.824253
 55.0   5.0          -4.788701         0.703352
 65.0   5.0          -2.953511         0.575455
 75.0   5.0          -2.468481         0.493093
 85.0   5.0          -0.646457         0.454902
 95.0   5.0           1.187563         0.432495
105.0   5.0           1.613539         0.429580
115.0   5.0           3.443766         0.433726
125.0   5.0           4.100345         0.449133
135.0   5.0           4.792668         0.474488
145.0   5.0           4.249889         0.527119
155.0   5.0           4.119760         0.623231
165.0   5.0           2.558094         0.797611
175.0   5.0           4.382316         1.827976

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
  0.339887     0.289843   -11.215100     0.550474     0.972984     0.729007     0.000000     0.000000

chi^2/ndf =  13.851/15 =   0.923

------------------------------------------------------------------------------

Channel 180: 239.623 +- 0.659 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0           0.110006         1.798309
 15.0   5.0          -3.101165         1.187481
 25.0   5.0          -3.126897         1.124541
 35.0   5.0          -1.799028         1.035257
 45.0   5.0          -3.906966         0.918247
 55.0   5.0          -4.670157         0.766596
 65.0   5.0          -2.691878         0.637440
 75.0   5.0          -1.997417         0.540712
 85.0   5.0          -1.601410         0.498771
 95.0   5.0          -0.089944         0.479254
105.0   5.0           1.570280         0.471197
115.0   5.0           3.478936         0.479923
125.0   5.0           2.841917         0.492822
135.0   5.0           4.661370         0.530554
145.0   5.0           4.083785         0.570682
155.0   5.0           4.119634         0.689246
165.0   5.0           1.572349         0.887087
175.0   5.0           3.927561         2.202475

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
  0.101629     0.318071   -10.225272     0.604295     1.744094     0.799915     0.000000     0.000000

chi^2/ndf =  17.384/15 =   1.159

------------------------------------------------------------------------------

Channel 179: 240.841 +- 0.655 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -0.638381         1.593845
 15.0   5.0          -1.222763         1.175981
 25.0   5.0          -4.801077         1.081926
 35.0   5.0          -3.451143         0.975898
 45.0   5.0          -4.291373         0.853871
 55.0   5.0          -2.047435         0.714021
 65.0   5.0          -3.889177         0.591653
 75.0   5.0          -2.553171         0.510035
 85.0   5.0          -1.257880         0.471644
 95.0   5.0          -0.104575         0.449557
105.0   5.0           1.474117         0.442979
115.0   5.0           3.916760         0.454736
125.0   5.0           3.924345         0.471699
135.0   5.0           4.549096         0.494007
145.0   5.0           4.130835         0.550813
155.0   5.0           4.832140         0.640837
165.0   5.0           3.196450         0.844912
175.0   5.0           2.867015         1.910848

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
  0.334092     0.298545   -10.994280     0.566829     2.238574     0.752850     0.000000     0.000000

chi^2/ndf =  19.962/15 =   1.331

------------------------------------------------------------------------------

Channel 178: 242.057 +- 0.651 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -2.857350         1.934088
 15.0   5.0          -3.473427         1.231929
 25.0   5.0          -3.077762         1.165396
 35.0   5.0          -1.926232         1.039905
 45.0   5.0          -5.559459         0.907079
 55.0   5.0          -2.836061         0.754565
 65.0   5.0          -3.145477         0.624145
 75.0   5.0          -2.403467         0.541443
 85.0   5.0          -0.103481         0.502199
 95.0   5.0           0.886877         0.482616
105.0   5.0           1.815002         0.477248
115.0   5.0           3.462344         0.482308
125.0   5.0           3.941620         0.500045
135.0   5.0           4.931477         0.533815
145.0   5.0           5.661818         0.590860
155.0   5.0           2.711270         0.680184
165.0   5.0           2.125868         0.882355
175.0   5.0           1.712187         2.030036

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
  0.521551     0.316698   -10.965646     0.600965     0.974773     0.801432     0.000000     0.000000

chi^2/ndf =  20.350/15 =   1.357

------------------------------------------------------------------------------

Channel 177: 243.256 +- 0.662 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0           0.974189         1.890506
 15.0   5.0          -3.907110         1.202210
 25.0   5.0          -4.070008         1.140161
 35.0   5.0          -3.487379         1.037257
 45.0   5.0          -4.473739         0.902373
 55.0   5.0          -4.554404         0.748040
 65.0   5.0          -3.177568         0.624901
 75.0   5.0          -2.057930         0.543039
 85.0   5.0          -0.601533         0.499110
 95.0   5.0           0.668064         0.484121
105.0   5.0           2.169734         0.476385
115.0   5.0           4.387747         0.485041
125.0   5.0           3.972739         0.496807
135.0   5.0           4.790020         0.530604
145.0   5.0           5.399679         0.578721
155.0   5.0           4.505938         0.693719
165.0   5.0           3.398477         0.924577
175.0   5.0           3.485006         2.020275

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
  0.447670     0.314248   -12.125131     0.596410     0.878238     0.795960     0.000000     0.000000

chi^2/ndf =  13.054/15 =   0.870

------------------------------------------------------------------------------

Channel 176: 244.483 +- 0.672 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -1.704893         1.871728
 15.0   5.0           1.010834         1.231731
 25.0   5.0          -4.254291         1.146922
 35.0   5.0          -4.835971         1.042381
 45.0   5.0          -3.694214         0.892817
 55.0   5.0          -3.985606         0.747639
 65.0   5.0          -3.122407         0.628265
 75.0   5.0          -2.806438         0.545341
 85.0   5.0          -0.609032         0.500811
 95.0   5.0           0.102855         0.485720
105.0   5.0           2.753120         0.481432
115.0   5.0           2.772880         0.484489
125.0   5.0           4.522856         0.502704
135.0   5.0           5.957445         0.541098
145.0   5.0           4.703515         0.600601
155.0   5.0           3.970562         0.684373
165.0   5.0           2.492315         0.910587
175.0   5.0           0.999763         2.070753

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
  0.504223     0.315087   -11.671039     0.597399     1.761025     0.798977     0.000000     0.000000

chi^2/ndf =  17.985/15 =   1.199

------------------------------------------------------------------------------

Channel 175: 245.695 +- 0.668 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -0.428651         2.052539
 15.0   5.0           0.258957         1.283590
 25.0   5.0          -1.799855         1.183612
 35.0   5.0          -3.887646         1.084289
 45.0   5.0          -4.101391         0.921861
 55.0   5.0          -3.592326         0.771874
 65.0   5.0          -5.170354         0.644544
 75.0   5.0          -2.931878         0.562591
 85.0   5.0          -1.142819         0.515408
 95.0   5.0           0.659916         0.503786
105.0   5.0           1.263998         0.496110
115.0   5.0           3.515492         0.508736
125.0   5.0           5.041263         0.523512
135.0   5.0           5.035692         0.562162
145.0   5.0           3.761852         0.613448
155.0   5.0           4.327849         0.724755
165.0   5.0           3.731272         0.940668
175.0   5.0           2.736908         2.212423

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
  0.229162     0.325115   -11.722134     0.616598     2.196523     0.825112     0.000000     0.000000

chi^2/ndf =  18.749/15 =   1.250

------------------------------------------------------------------------------

Channel 174: 246.904 +- 0.664 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0           0.326353         1.814693
 15.0   5.0           0.310354         1.252617
 25.0   5.0          -3.815294         1.165069
 35.0   5.0          -3.896579         1.058366
 45.0   5.0          -4.615172         0.916703
 55.0   5.0          -6.015933         0.759852
 65.0   5.0          -2.639311         0.631830
 75.0   5.0          -2.622923         0.552897
 85.0   5.0          -1.688285         0.514054
 95.0   5.0           1.305227         0.498098
105.0   5.0           2.274368         0.493325
115.0   5.0           3.894289         0.498774
125.0   5.0           5.569893         0.520017
135.0   5.0           4.816008         0.545995
145.0   5.0           5.695729         0.609160
155.0   5.0           3.650561         0.708507
165.0   5.0           4.010860         0.952733
175.0   5.0           3.349769         2.197614

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
  0.468768     0.319181   -12.787505     0.605376     1.396249     0.811760     0.000000     0.000000

chi^2/ndf =  21.783/15 =   1.452

------------------------------------------------------------------------------

Channel 173: 248.112 +- 0.660 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -3.177675         2.104111
 15.0   5.0          -2.295203         1.271356
 25.0   5.0          -5.484136         1.217307
 35.0   5.0          -4.961908         1.063512
 45.0   5.0          -4.489365         0.913432
 55.0   5.0          -4.006907         0.761030
 65.0   5.0          -3.625899         0.634124
 75.0   5.0          -3.025062         0.556733
 85.0   5.0          -1.025499         0.518455
 95.0   5.0           0.393525         0.503317
105.0   5.0           2.707672         0.497499
115.0   5.0           4.421312         0.503616
125.0   5.0           5.630430         0.527090
135.0   5.0           5.541927         0.552923
145.0   5.0           4.213241         0.612850
155.0   5.0           3.275960         0.714237
165.0   5.0           3.176072         0.940736
175.0   5.0          -0.334021         2.067327

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
  0.150568     0.320744   -13.146029     0.608371     0.286294     0.816960     0.000000     0.000000

chi^2/ndf =  12.497/15 =   0.833

------------------------------------------------------------------------------

Channel 172: 249.319 +- 0.656 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -1.737653         1.873946
 15.0   5.0          -4.531176         1.303395
 25.0   5.0          -3.059812         1.161082
 35.0   5.0          -6.749066         1.038893
 45.0   5.0          -5.935639         0.891411
 55.0   5.0          -4.964916         0.742789
 65.0   5.0          -4.514154         0.623951
 75.0   5.0          -2.517438         0.546767
 85.0   5.0          -1.048514         0.509920
 95.0   5.0           0.715476         0.495128
105.0   5.0           1.665462         0.493013
115.0   5.0           4.125679         0.494283
125.0   5.0           5.315165         0.516677
135.0   5.0           6.303660         0.548073
145.0   5.0           5.254207         0.604280
155.0   5.0           5.259599         0.720023
165.0   5.0           3.118109         0.919418
175.0   5.0           0.038141         2.104696

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
  0.004763     0.314009   -14.293352     0.594964     0.898678     0.801642     0.000000     0.000000

chi^2/ndf =  13.033/15 =   0.869

------------------------------------------------------------------------------

Channel 171: 250.523 +- 0.652 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -2.651137         2.152495
 15.0   5.0          -0.255764         1.437527
 25.0   5.0          -2.049444         1.253285
 35.0   5.0          -4.038580         1.163707
 45.0   5.0          -5.865163         0.960876
 55.0   5.0          -4.772140         0.811040
 65.0   5.0          -4.580783         0.677766
 75.0   5.0          -2.448861         0.599451
 85.0   5.0          -1.801216         0.550490
 95.0   5.0           0.791004         0.543302
105.0   5.0           2.497801         0.542176
115.0   5.0           3.863329         0.547413
125.0   5.0           4.276528         0.563983
135.0   5.0           6.439519         0.631161
145.0   5.0           7.374643         0.673423
155.0   5.0           2.978426         0.775546
165.0   5.0           3.121142         1.022022
175.0   5.0           0.662914         2.422399

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
  0.440272     0.344120   -13.355723     0.651396     2.266188     0.879224     0.000000     0.000000

chi^2/ndf =  22.843/15 =   1.523

------------------------------------------------------------------------------

Channel 170: 251.726 +- 0.648 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -3.406808         2.072679
 15.0   5.0          -1.599578         1.357584
 25.0   5.0          -5.188369         1.192830
 35.0   5.0          -4.647498         1.100787
 45.0   5.0          -5.705314         0.942839
 55.0   5.0          -5.804152         0.774961
 65.0   5.0          -4.221896         0.644518
 75.0   5.0          -3.363431         0.578029
 85.0   5.0          -1.902667         0.530314
 95.0   5.0           0.515248         0.520999
105.0   5.0           2.076288         0.508839
115.0   5.0           5.486979         0.526004
125.0   5.0           6.403463         0.551084
135.0   5.0           5.749518         0.576450
145.0   5.0           6.421573         0.651407
155.0   5.0           4.321403         0.734797
165.0   5.0           3.480134         0.992907
175.0   5.0          -0.070500         2.368142

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
  0.220100     0.328168   -15.207351     0.621677     1.663431     0.837263     0.000000     0.000000

chi^2/ndf =  13.262/15 =   0.884

------------------------------------------------------------------------------

Channel 169: 252.927 +- 0.644 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -0.322819         2.231958
 15.0   5.0          -3.110010         1.439519
 25.0   5.0          -2.312765         1.462202
 35.0   5.0          -5.332837         1.263640
 45.0   5.0          -5.565226         1.096305
 55.0   5.0          -5.909468         0.905079
 65.0   5.0          -5.768494         0.772070
 75.0   5.0          -4.413879         0.678574
 85.0   5.0          -2.412415         0.637930
 95.0   5.0           1.738468         0.606386
105.0   5.0           3.739954         0.610023
115.0   5.0           3.604266         0.627558
125.0   5.0           5.546719         0.642167
135.0   5.0           6.606498         0.683991
145.0   5.0           5.367029         0.758270
155.0   5.0           5.849428         0.873397
165.0   5.0           1.876497         1.157357
175.0   5.0          -1.547105         2.644974

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
 -0.193029     0.383978   -15.660406     0.728466     1.004892     0.979872     0.000000     0.000000

chi^2/ndf =  20.279/15 =   1.352

------------------------------------------------------------------------------

Channel 168: 254.126 +- 0.640 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -0.380114         2.336752
