# RunInfo:	RunNumber	FileName	RunType	BeamTimeBlock	RunDateTime	TargetNMRSignal	TargetOrient	HelBitPresent	AcquCrash	LaddP2Ratio	TargetPolDegree	ErrorTargetPolDegree	BeamPolDegree	AbsTaggEff	BufferDataPath
RunInfo:	26682	CB_26682.dat	0	0	40438.203125	1	1	0	0	149.100006	0.703800	0.037200	0.000000	0.078955	2010_09_A
RunInfo:	26683	CB_26683.dat	0	0	40438.230469	1	1	0	0	149.399994	0.703300	0.037200	0.000000	0.078790	2010_09_A
RunInfo:	26684	CB_26684.dat	0	0	40438.253906	1	1	0	0	149.800003	0.702700	0.037200	0.000000	0.078590	2010_09_A
RunInfo:	26685	CB_26685.dat	0	0	40438.281250	1	1	0	0	150.600006	0.702200	0.037100	0.000000	0.078166	2010_09_A
RunInfo:	26686	CB_26686.dat	0	0	40438.304688	1	1	0	0	148.699997	0.701600	0.037100	0.000000	0.079167	2010_09_A
RunInfo:	26687	CB_26687.dat	0	0	40438.328125	1	1	0	0	147.800003	0.701300	0.037100	0.000000	0.079650	2010_09_A
RunInfo:	26688	CB_26688.dat	0	0	40438.335938	1	1	0	0	147.000000	0.700900	0.037100	0.000000	0.080085	2010_09_A
RunInfo:	26689	CB_26689.dat	0	0	40438.363281	1	1	0	0	148.000000	0.700600	0.037100	0.000000	0.079544	2010_09_A
RunInfo:	26690	CB_26690.dat	0	0	40438.375000	1	1	0	0	148.000000	0.700200	0.037000	0.000000	0.079544	2010_09_A
RunInfo:	26691	CB_26691.dat	0	0	40438.738281	-1	1	0	0	149.600006	-0.750400	0.039700	0.000000	0.078684	2010_09_B
RunInfo:	26692	CB_26692.dat	0	0	40438.769531	-1	1	0	0	148.100006	-0.749400	0.039600	0.000000	0.079485	2010_09_B
RunInfo:	26693	CB_26693.dat	0	0	40438.812500	-1	1	0	0	111.400002	-0.748600	0.039600	0.000000	0.105678	2010_09_B
RunInfo:	26694	CB_26694.dat	0	0	40438.832031	-1	1	0	0	112.699997	-0.748300	0.039600	0.000000	0.104453	2010_09_B
RunInfo:	26695	CB_26695.dat	0	0	40438.843750	-1	1	0	0	112.000000	-0.748000	0.039600	0.000000	0.105113	2010_09_B
RunInfo:	26696	CB_26696.dat	0	0	40438.859375	-1	1	0	0	111.599998	-0.747600	0.039500	0.000000	0.105489	2010_09_B
RunInfo:	26697	CB_26697.dat	0	0	40438.875000	-1	1	0	0	129.600006	-0.747200	0.039500	0.000000	0.090833	2010_09_B
RunInfo:	26698	CB_26698.dat	0	0	40438.890625	-1	1	0	0	129.000000	-0.746800	0.039500	0.000000	0.091257	2010_09_B
RunInfo:	26699	CB_26699.dat	0	0	40438.910156	-1	1	0	0	130.000000	-0.746400	0.039500	0.000000	0.090551	2010_09_B
RunInfo:	26700	CB_26700.dat	0	0	40438.941406	-1	1	0	0	233.000000	-0.746400	0.039500	0.000000	0.050526	2010_09_B
RunInfo:	26701	CB_26701.dat	0	0	40438.953125	-1	1	0	0	203.000000	-0.746400	0.039500	0.000000	0.057989	2010_09_B
RunInfo:	26702	CB_26702.dat	0	0	40438.960938	-1	1	0	0	175.000000	-0.746400	0.039500	0.000000	0.067265	2010_09_B
RunInfo:	26703	CB_26703.dat	0	0	40438.972656	-1	1	0	0	152.000000	-0.746400	0.039500	0.000000	0.077448	2010_09_B
RunInfo:	26704	CB_26704.dat	0	0	40438.984375	-1	1	0	0	130.000000	-0.746400	0.039500	0.000000	0.090551	2010_09_B
RunInfo:	26705	CB_26705.dat	0	0	40438.992188	-1	1	0	0	151.000000	-0.744700	0.039400	0.000000	0.077966	2010_09_B
RunInfo:	26706	CB_26706.dat	0	0	40439.019531	-1	1	0	0	151.000000	-0.743800	0.039300	0.000000	0.077966	2010_09_B
RunInfo:	26707	CB_26707.dat	0	0	40439.046875	-1	1	0	0	152.000000	-0.743500	0.039300	0.000000	0.077448	2010_09_B
RunInfo:	26708	CB_26708.dat	0	0	40439.066406	-1	1	0	0	151.000000	-0.743100	0.039300	0.000000	0.077966	2010_09_B
RunInfo:	26709	CB_26709.dat	0	0	40439.074219	-1	1	0	0	151.000000	-0.742800	0.039300	0.000000	0.077966	2010_09_B
RunInfo:	26710	CB_26710.dat	0	0	40439.101562	-1	1	0	0	152.000000	-0.742100	0.039300	0.000000	0.077448	2010_09_B
RunInfo:	26711	CB_26711.dat	0	0	40439.222656	-1	1	0	0	154.300003	-0.739300	0.039100	0.000000	0.076295	2010_09_B
RunInfo:	26712	CB_26712.dat	0	0	40439.269531	-1	1	0	0	155.199997	-0.738500	0.039100	0.000000	0.075847	2010_09_B
RunInfo:	26713	CB_26713.dat	0	0	40439.289062	-1	1	0	0	154.300003	-0.737900	0.039000	0.000000	0.076295	2010_09_B
RunInfo:	26714	CB_26714.dat	0	0	40439.324219	-1	1	0	0	154.399994	-0.737300	0.039000	0.000000	0.076248	2010_09_B
RunInfo:	26715	CB_26715.dat	0	0	40439.335938	-1	1	0	0	154.600006	-0.736900	0.039000	0.000000	0.076142	2010_09_B
RunInfo:	26716	CB_26716.dat	0	0	40439.367188	-1	1	0	0	155.399994	-0.736300	0.038900	0.000000	0.075753	2010_09_B
RunInfo:	26717	CB_26717.dat	0	0	40439.390625	-1	1	0	0	152.600006	-0.735700	0.038900	0.000000	0.077142	2010_09_B
RunInfo:	26718	CB_26718.dat	0	0	40439.417969	-1	1	0	0	152.199997	-0.735100	0.038900	0.000000	0.077342	2010_09_B
RunInfo:	26719	CB_26719.dat	2	0	40439.437500	-1	1	0	0	152.500000	-0.734800	0.038900	0.000000	0.077189	2010_09_B
RunInfo:	26720	CB_26720.dat	0	0	40439.449219	-1	1	0	0	152.500000	-0.734300	0.038800	0.000000	0.077189	2010_09_B
RunInfo:	26721	CB_26721.dat	0	0	40439.476562	-1	1	0	0	153.600006	-0.733800	0.038800	0.000000	0.076636	2010_09_B
RunInfo:	26722	CB_26722.dat	0	0	40439.500000	-1	1	0	0	130.000000	-0.733300	0.038800	0.000000	0.090551	2010_09_B
RunInfo:	26723	CB_26723.dat	0	0	40439.519531	-1	1	0	0	127.900002	-0.732800	0.038800	0.000000	0.092046	2010_09_B
RunInfo:	26724	CB_26724.dat	0	0	40439.675781	-1	1	0	0	127.000000	-0.729400	0.038600	0.000000	0.092693	2010_09_B
RunInfo:	26725	CB_26725.dat	0	0	40439.703125	-1	1	0	0	127.300003	-0.728900	0.038600	0.000000	0.092469	2010_09_B
RunInfo:	26726	CB_26726.dat	0	0	40439.722656	-1	1	0	0	126.000000	-0.728400	0.038500	0.000000	0.093435	2010_09_B
RunInfo:	26727	CB_26727.dat	0	0	40439.742188	-1	1	0	0	126.000000	-0.728100	0.038500	0.000000	0.093435	2010_09_B
RunInfo:	26728	CB_26728.dat	0	0	40439.753906	-1	1	0	0	127.199997	-0.727800	0.038500	0.000000	0.092552	2010_09_B
RunInfo:	26729	CB_26729.dat	0	0	40439.769531	-1	1	0	0	127.000000	-0.727400	0.038500	0.000000	0.092693	2010_09_B
RunInfo:	26733	CB_26733.dat	2	0	40439.843750	-1	1	0	0	130.000000	-0.727400	0.038500	0.000000	0.090551	2010_09_B
RunInfo:	26734	CB_26734.dat	0	0	40439.867188	-1	1	0	0	130.029999	-0.725300	0.038400	0.000000	0.090539	2010_09_B
RunInfo:	26735	CB_26735.dat	2	0	40439.902344	-1	1	0	0	126.370003	-0.725300	0.038400	0.000000	0.093152	2010_09_B
RunInfo:	26739	CB_26739.dat	0	0	40439.988281	-1	1	0	0	126.269997	-0.722800	0.038200	0.000000	0.093235	2010_09_B
RunInfo:	26740	CB_26740.dat	0	0	40439.996094	-1	1	0	0	126.400002	-0.722500	0.038200	0.000000	0.093129	2010_09_B
