Draw 130 MeV (bin 1) data.
85	-0.106439	0.036784
95	0.093051	0.035178
105	0.192011	0.035464
115	0.416524	0.038388
125	0.418114	0.039458
135	0.545064	0.045324
145	0.680928	0.054038
155	0.574149	0.066525
165	0.422727	0.096357
175	0.244649	0.159920
Draw 250 MeV (bin 13) data.
5	-0.406721	0.244016
15	-0.242153	0.150984
25	-0.776221	0.135491
35	-0.929972	0.106072
45	-0.930211	0.084497
55	-0.806259	0.066561
65	-0.647264	0.052931
75	-0.412853	0.043789
85	-0.141439	0.037544
95	0.061985	0.035441
105	0.302908	0.036851
115	0.535923	0.041543
125	0.824593	0.048399
135	0.730086	0.049937
145	0.735472	0.058067
155	0.733648	0.073903
165	0.590162	0.102679
175	0.356754	0.190800
Draw 260 MeV (bin 14) data.
5	-0.197907	0.133838
15	-0.385045	0.098380
25	-0.700528	0.078401
35	-0.758725	0.063333
45	-0.602883	0.047187
55	-0.574926	0.038056
65	-0.389497	0.029366
75	-0.319437	0.024914
85	-0.162015	0.021281
95	0.014300	0.019923
105	0.191518	0.021801
115	0.405425	0.027290
125	0.571332	0.033802
135	0.588696	0.035070
145	0.553255	0.036238
155	0.495455	0.044315
165	0.477376	0.067973
175	0.122258	0.117586
Draw 270 MeV (bin 15) data.
5	-0.094735	0.128643
15	-0.533344	0.079401
25	-0.708706	0.066633
35	-0.819750	0.053976
45	-0.713600	0.040947
55	-0.638163	0.033104
65	-0.469806	0.025565
75	-0.318753	0.020427
85	-0.139544	0.016765
95	0.012741	0.016188
105	0.195868	0.018805
115	0.473590	0.028456
125	0.829672	0.041561
135	0.792809	0.039357
145	0.679813	0.035817
155	0.585416	0.040735
165	0.394029	0.056319
175	0.129445	0.098352
Draw 280 MeV (bin 16) data.
5	-0.269294	0.102673
15	-0.303747	0.063574
25	-0.587229	0.051262
35	-0.721334	0.042029
45	-0.670158	0.033083
55	-0.580277	0.026482
65	-0.410896	0.019964
75	-0.290996	0.015990
85	-0.146814	0.013180
95	0.003268	0.012457
105	0.192246	0.015798
115	0.445763	0.024216
125	0.754142	0.034226
135	0.704714	0.032830
145	0.623597	0.030065
155	0.539930	0.034542
165	0.397502	0.046848
175	0.055416	0.085186
Draw 290 MeV (bin 17) data.
5	-0.123807	0.114373
15	-0.657440	0.074658
25	-0.865266	0.058291
35	-0.893750	0.046153
45	-0.877173	0.037503
55	-0.737935	0.029915
65	-0.597057	0.024111
75	-0.407507	0.018677
85	-0.188308	0.014171
95	-0.007976	0.013455
105	0.228506	0.016933
115	0.461237	0.022138
125	0.682595	0.028853
135	0.861703	0.035679
145	0.782435	0.034685
155	0.648329	0.039406
165	0.610845	0.056289
175	0.157768	0.098344
Draw 300 MeV (bin 18) data.
5	-0.242486	0.095597
15	-0.536494	0.063393
25	-0.728170	0.047961
35	-0.760331	0.037204
45	-0.756858	0.030775
55	-0.687039	0.025766
65	-0.527710	0.020076
75	-0.352467	0.015334
85	-0.182288	0.011978
95	-0.020873	0.011181
105	0.163214	0.012643
115	0.338533	0.015762
125	0.478709	0.019685
135	0.600704	0.024801
145	0.655024	0.028627
155	0.635425	0.034341
165	0.541959	0.049648
175	0.230366	0.086045
Draw 310 MeV (bin 19) data.
5	-0.169256	0.087836
15	-0.470281	0.056952
25	-0.590476	0.041278
35	-0.715384	0.033391
45	-0.617444	0.025469
55	-0.531479	0.020342
65	-0.448421	0.016974
75	-0.295156	0.012932
85	-0.160929	0.010558
95	-0.016068	0.009574
105	0.141517	0.010553
115	0.235562	0.012167
125	0.358563	0.015343
135	0.478429	0.019624
145	0.540453	0.024095
155	0.530190	0.030540
165	0.460686	0.045445
175	0.254047	0.086547
Draw 320 MeV (bin 20) data.
5	-0.341049	0.113877
15	-0.584758	0.062667
25	-0.833215	0.047934
35	-0.893240	0.037271
45	-0.885354	0.031533
55	-0.763546	0.025790
65	-0.599242	0.020491
75	-0.429765	0.015923
85	-0.253517	0.012290
95	-0.039254	0.010177
105	0.155446	0.011024
115	0.296565	0.013624
125	0.466093	0.017860
135	0.588487	0.022121
145	0.723436	0.028552
155	0.648812	0.035027
165	0.544332	0.052671
